num,raw_text
69,"According to the present invention, an image-encoding method comprises the following steps: receiving image information; generating a restored block for the current block based on the image information; and generating a finally restored block for the current block by applying an in-loop filter to the restored block on the basis of the image information. According to the present invention, image-encoding/decoding efficiency may be improved."
70,"Virus vectors, virus particles, and methods and uses of screening for, detecting, analyzing and determining amounts of virus antibody, or neutralizing antibody activity of samples are provided. Such virus vectors, virus particles, and methods and uses are applicable to a broad range of virus types, such as lentiviruses, adenovirus, and adeno-associated virus (AAV) serotypes. Methods and uses include virus antibody screening, such as anti-virus immunoglobulins screened for, detected, analyzed and amounts determined."
71,"Disclosed herein are methods for analyzing for or detecting the presence of non-antibody inhibitors and/or enhancers of adeno-associated virus (AAV) vector cell transduction in a biological sample from a subject. Also disclosed herein are methods for analyzing for, or detecting the presence of, AAV binding antibodies that inhibit, reduce or decrease AAV vector cell transduction in a biological sample from a subject. The methods rely, in part, on the use of empty capsid AAV particles to absorb AAV binding antibodies, to detect enhancers or inhibitors of AAV vector cell transduction, when present, in a biological sample analyzed for AAV neutralizing antibodies (NAbs)."
72,"An example method includes decoding, via a first syntax level of a video bitstream, a first deblocking filter control syntax element with a value that specifies whether deblocking filter information is present in a second syntax level of the bitstream; decoding, via the first syntax level of the bitstream, a second deblocking filter control syntax element with a value that specifies whether deblocking override is enabled; responsive to the first deblocking filter control syntax element specifying that the deblocking filter information is present in the second syntax level of the bitstream and regardless of the value of the second deblocking filter control syntax element, decoding, via the second syntax level, one or more syntax elements that specify deblocking filter information; and applying, based on the deblocking filter information, a deblocking filter to a block of the video data."
73,"An example device for decoding video data includes one or more processors implemented in circuitry and configured to: decode a coding tree unit (CTU) of video data, the CTU including a luminance (luma) block and a chrominance (chroma) block, to produce a decoded luma block and a decoded chroma block; determine that a chroma sample of the decoded chroma block is on a first side of an adaptive loop filter (ALF) virtual boundary and that a co-located luma sample of the decoded luma block is on a second side of the ALF virtual boundary, the co-located luma sample being co-located with the chroma sample, the first side being different than the second side; and in response to determining that the chroma sample is on the first side and the luma sample is on the second side, disable cross-component adaptive loop filtering (CC-ALF) for the chroma sample."
74,The present invention relates to a modified FXN gene providing for increased expression of the encoded protein frataxin that can be used for treatment of Friedreich ataxia.
75,"Systems, methods, and instrumentalities may be provided for discounting reconstructed samples and/or coding information from spatial neighbors across face discontinuities. Whether a current block is located at a face discontinuity may be determined. The face discontinuity may be a face boundary between two or more adjoining blocks that are not spherical neighbors. The coding availability of a neighboring block of the current block may be determined, e.g., based on whether the neighboring block is on the same side of the face discontinuity as the current block. For example, the neighboring block may be determined to be available for decoding the current block if it is on the same side of the face discontinuity as the current block, and unavailable if it Is not on the same side of the face discontinuity. The neighboring block may be a spatial neighboring block or a temporal neighboring block."
76,"Methods and apparatus of coding a video sequence, wherein pictures from the video sequence contain one or more discontinuous edges are disclosed. The loop filtering process associated with the loop filter is then applied to the current reconstructed pixel to generate a filtered reconstructed pixel, where if the loop filtering process is across a virtual boundary of the current picture, one or more alternative reference pixels are used to replace unexpected reference pixels located in a different side of the virtual boundary from the current reconstructed pixel, and said one or more alternative reference pixels are generated from second reconstructed pixels in a same side of the virtual boundary as the current reconstructed pixel. According to another method, reference pixels are derived from spherical neighbouring reference pixels for the loop filtering process."
77,"A stored volumetric scene model of a real scene is generated from data defining digital images of a light field in a real scene containing different types of media. The digital images have been formed by a camera from opposingly directed poses and each digital image contains image data elements defined by stored data representing light field flux received by light sensing detectors in the camera. The digital images are processed by a scene reconstruction engine to form a digital volumetric scene model representing the real scene. The volumetric scene model (i) contains volumetric data elements defined by stored data representing one or more media characteristics and (ii) contains solid angle data elements defined by stored data representing the flux of the light field. Adjacent volumetric data elements form corridors, at least one of the volumetric data elements in at least one corridor represents media that is partially light transmissive. The constructed digital volumetric scene model data is stored in a digital data memory for subsequent uses and applications."
78,"In one embodiment, a method receives a video bitstream corresponding to compressed video, wherein Filter Unit (FU) based in-loop filtering is allowed in a reconstruction loop associated with the compressed video. The method then derives reconstructed video from the video bitstream, wherein the reconstructed video is partitioned into FUs and derives a merge flag from the video bitstream for each of the FUs, wherein the merge flag indicates whether said each of the FUs is merged with a neighboring FU. The method further receives a merge index from the video bitstream if the merge flag indicates that said each of the FUs is merged, and receives the filter parameters from the video bitstream if the merge flag indicates that said each of the FUs is not merged. Finally, the method applies the in-loop filtering to said each of the FUs using the filter parameters."
79,"A method of video coding including an IntraBC (Intra Block Copy) mode is disclosed. In one embodiment, the reference picture list includes an IntraBC reference picture corresponding to the current and partial reconstructed picture. If the IntraBC mode is selected for a current coding unit, the current coding unit is coded using an IntraBC predictor derived based on the IntraBC reference picture selected from a reference picture list. After the current coding unit is coded, the reconstructed current block is generated and used for updating the IntraBC reference picture. In another embodiment, a motion vector predictor (MVP) or Merge/Skip candidates are determined based on motion vectors of neighboring blocks. The current motion vector associated with the IntraBC mode is coded based on the MVP or Merge/Skip candidates."
80,"A method for signaling sample adaptive offset (SAO) band offset syntax elements in a video encoder is provided that includes receiving a plurality of band offset syntax elements, entropy encoding an absolute value of a magnitude of each band offset syntax element in a compressed video bit stream, and entropy encoding a sign of each non-zero band offset syntax element in the compressed video bit stream following the absolute values of the magnitudes."
81,"Disclosed is a method of decoding (712, 715, 718) sample adaptive offset type index data (242, sao_type_idx) from a received stream of encoded video data (113). The method determines an arithmetically encoded first portion (501;591) of a sample adaptive offset type index value (500, 590) from the stream of video data, and a bypass encoded second portion (502; 592) of the sample adaptive offset type index value when the first portion indicates that the second portion will be present in the stream of video data. The method decodes (7100, 7700, 7800; 7300, 7940, 7960) the sample adaptive offset type index from a combination of the decoded first and second portions of the sample adaptive offset type index values. The sample adaptive offset type index data is used to select one of a plurality of offsets in digital video decoding. Corresponding methods of encoding are also disclosed."
82,"A sample adaptive offset (SAO) adjustment method, the method includes: obtaining slice SAO parameters with respect to a current slice from a slice header of a received bitstream; obtaining luma SAO use information for a luma component of the current slice and chroma SAO use information for chroma components of the current slice from the slice SAO parameters; determining whether to perform an SAO adjustment on the luma component of the current slice based on the obtained luma SAO use information; and determining whether to perform an SAO adjustment on a first chroma component and a second chroma component of the current slice based on the obtained chroma SAO use information."
83,"An apparatus and method for sample adaptive offset (SAO) to restore intensity shift of processed video data are disclosed. In an encoder side, the processed video data corresponding to reconstructed video data, deblocked-reconstructed video data, or adaptive loop filtered and deblocked-reconstructed video data are partitioned into regions smaller than a picture. The region partition information is signaled in a video bitstream located in a position before intensity offset values syntax. At the decoder side, the processed video data is partitioned into regions according to the partition information parsed from the bitstream at a position before intensity offset values syntax. Region-based SAO is applied to each region based on the intensity offset for the category of the region-based SAO type selected."
84,"The present invention provides a method and a device for coding and decoding at least a part of an image comprising a plurality of samples, each sample comprising at least two components, and the encoded image comprising at least one filtering parameter. The filtering comprises using at least one filtering parameter as a common filtering parameter for filtering both the first component and the second component of a reconstructed sample."
85,"A method for sample adaptive offset (SAO) filtering and SAO parameter signaling in a video encoder is provided that includes determining SAO parameters for largest coding units (LCUs) of a reconstructed picture, wherein the SAO parameters include an indicator of an SAO filter type and a plurality of SAO offsets, applying SAO filtering to the reconstructed picture according to the SAO parameters, and entropy encoding LCU specific SAO information for each LCU of the reconstructed picture in an encoded video bit stream, wherein the entropy encoded LCU specific SAO information for the LCUs is interleaved with entropy encoded data for the LCUs in the encoded video bit stream. Determining SAO parameters may include determining the LCU specific SAO information to be entropy encoded for each LCU according to an SAO prediction protocol."
86,"A method and apparatus for scalable video coding are disclosed, wherein the video data is configured into a Base Layer (BL) and an Enhancement Layer (EL) and wherein the EL has higher spatial resolution or better video quality than the BL. According to embodiments of the present invention, information from the base layer is exploited for coding the enhancement layer. The information coding for the enhancement layer includes CU structure, motion vector predictor (MVP) information, MVP/merge candidates, intra prediction mode, residual quadtree information, texture information, residual information, context adaptive entropy coding, Adaptive Lop Filter (ALF), Sample Adaptive Offset (SAO), and deblocking filter."
87,"A method and apparatus of line buffer reduction for context adaptive entropy processing are disclosed. The context formation for context adaptive entropy processing depends on block information associated with one or more neighboring Determining context formation for processing a blocks. When the neighboring block is on a different current syntax element of a current block in a region, side of a region boundary from the current block, the wherein the context formation depends on block block information is replaced by replacement block information associated with a neighboring block information to reduce or remove line buffer requirement for storing the block information of neighboring blocks on the other side of the region boundaries from the current block. The context adaptive entropy Replacing the block information associated with a processing is CABAC encoding, CABAC decoding, neighboring block by replacement block information if CAVLC encoding, or CAVLC decoding."
88,"Methods and apparatuses for video decoding and encoding with in-loop processing of reconstructed video are disclosed. At the decoder side, the method comprises receiving a flag from the video bitstream and according to the flag, the method receives information associated with in-loop filter parameters either from a data payload in the video bitstream to be shared by two or more coding blocks or individual coding block data in the video bitstream. At the encoder side, the method comprises incorporating information associated with the in-loop filter parameters either in a data payload in a video bitstream to be shared by two or more coding blocks or interleaved with individual coding block data in the video bitstream according to a flag. The data payload in the video bitstream is in a picture level, Adaptation Parameter Set (APS), or a slice header."
89,"Techniques for coding video data include coding sample adaptive offset (SAO) offset values as part of performing a video coding process. In particular, the techniques include determining the SAO offset values according to a SAO process. The techniques further include storing a codebook defining a plurality of codes for coding different variations of SAO offset values. The techniques also include coding the SAO offset values in accordance with the codebook so as to specify the SAO offset values as one of the plurality of codes defined by the codebook."
90,"In general, techniques are described for applying partition-based filters when coding video data. A device comprising at least one processor may be configured to implement the techniques. The processor selects a filter to apply near a boundary of a first portion of the video data and determines at least one of the plurality of filter coefficients of the selected filter for which the video data will not be available to be filtered. Based on the determination, the processor determines a partial filter that does not include the at least one of the plurality of filter coefficients for which the video data will not be available to be filtered. The processor renormalizes the plurality of filter coefficients included within the partial filter and applies the renormalized partial filter near the boundary of the first portion of the video data to generate a filtered first portion of the video data."
91,"An improved scheme for intra-inter prediction mode and an adaptive intra-inter prediction mode for video coding/decoding, including selecting a set of weightings in an intra-inter mode and applying position dependent intra prediction combination to modify at least one of an inter prediction sample and a reconstructed sample of an inter coded coding unit."
92,"Disclosed herein are exemplary embodiments of innovations in the area of encoding pictures or portions of pictures (e.g., slices, coding tree units, or coding units) and determining whether and how certain filtering operation should be performed and flagged for performance by the decoder in the bitstream. In particular examples, various implementations for setting the sample adaptive offset (SAO) syntax elements in the H.265/HEVC standard are disclosed. Although these examples concern the H.265/HEVC standard and its SAO filter, the disclosed technology is more widely applicable to other video codecs that involve filtering operations (particularly multi-stage filtering operations) as part of their encoding and decoding processes."
93,"When encoding and transmitting video data comprising regions of interest, different usages of the regions of interest implicate different kinds of combination of region of interest at decoding. By studying the different impacts of the encoding mechanisms depending on other set of tiles data on the different kind of combination, it is possible to define a plurality of tile set coding dependency levels. Each tile set coding dependency level is linked to a set of constraints on encoding. These set of constraints have different impacts on the possibilities allowed when combining the different regions of interest. It is therefore possible, based on a desired usage, to select an encoding with minimal restrictions, as defined by a given tile coding dependency level, compatible with the desired usage. Accordingly, the encoding efficiency is improved, for a given usage, compared to a solution where a complete tile independency solution is used."
94,"A method of performing sample adaptive offset (SAO) filtering on a sequence of images comprises associating a fixed set of four offset values with at least one direction of edge-type filtering. For every image area for which it is determined that edge-type filtering is to be used and for which it is determined that a direction of the edge-type filtering is the at least one direction, the fixed set of four offset values associated with said at least one direction is systematically used."
95,"An adaptive offset filter (60) adds an offset to the pixel value of each pixel forming an input image. The adaptive offset filter (60) refers to offset-type specifying information, sets offset attributes for a subject unit area of the input image, decodes an offset having a bit width corresponding to an offset value range included in the set offset attributes, and adds the offset to the pixel value of each pixel forming the input image."
96,"A video coder, such as a video encoder or a video decoder, may use reference pixels in a first picture to pad pixels outside a picture boundary of a second picture. The second picture is a different picture from the first picture. The padded pixels are in a padding area surrounding the second picture. The video coder may encode or decode one or more blocks of the video data based on the padded pixels."
97,"Innovations in encoder-side decisions that use the results of hash-based block matching when setting parameters are presented. For example, some of the innovations relate to ways to select motion vector precision depending on the results of hash-based block matching. Other innovations relate to ways to selectively disable sample adaptive offset filtering depending on the results of hash-based block matching. Still other innovations relate to ways to select which reference pictures to retain in a reference picture set depending on the results of hash-based block matching."
98,"A method for sample adaptive offset (SAO) filtering and SAO parameter signaling in a video encoder is provided that includes determining SAO parameters for largest coding units (LCUs) of a reconstructed picture, wherein the SAO parameters include an indicator of an SAO filter type and a plurality of SAO offsets, applying SAO filtering to the reconstructed picture according to the SAO parameters, and entropy encoding LCU specific SAO information for each LCU of the reconstructed picture in an encoded video bit stream, wherein the entropy encoded LCU specific SAO information for the LCUs is interleaved with entropy encoded data for the LCUs in the encoded video bit stream. Determining SAO parameters may include determining the LCU specific SAO information to be entropy encoded for each LCU according to an SAO prediction protocol."
99,"A method and apparatus for loop filter processing of video data in a video encoder or decoder are disclosed. Embodiments according to the present invention conditionally allow sharing of loop filter parameters. In one embodiment, sharing of loop filter information between the current block and a neighboring block is determined according to a condition. If the condition indicates that sharing of loop filter information is allowed, a merge flag is coded and incorporated in the video bitstream in an encoder, and a merge flag is parsed from the video bitstream and decoded in a decoder. In one embodiment, the condition depends on region partitioning of the picture, where region partitioning partitions the picture into regions and the region may correspond to a slice or a tile. The condition is set to indicate that sharing of loop filter information is allowed if the block and the neighboring block are in a same slice/tile."
100,"The present disclosure relates to signaling of sample adaptive offset (SAO) parameters determined to minimize an error between an original image and a reconstructed image in video encoding and decoding operations. An SAO decoding method includes obtaining context-encoded leftward SAO merge information and context-encoded upward SAO merge information from a bitstream of a largest coding unit (MCU); obtaining SAO on/off information context-encoded with respect to each color component, from the bitstream; if the SAO on/off information indicates to perform SAO operation, obtaining absolute offset value information for each SAO category bypass-encoded with respect to each color component, from the bitstream; and obtaining one of band position information and edge class information bypass-encoded with respect to each color component, from the bitstream."
101,"Provided is a method for encoding parameter sets at slice level. The method includes: when there are one or more parameter sets, in which the coding tool parameters are identical to the coding tool parameters of a part of coding tools used for the current slice, in the existing parameter sets, encoding the identifiers of parameter sets into bit-stream of the current slice, wherein a parameter set contains common information of the coding tools used in the process of encoding/decoding slice(s). Correspondingly, also provided is a method for decoding parameter sets at slice level and a device for encoding and decoding parameter sets at slice level, which can make full use of the encoded parameter set information when the slice header refers to a plurality of parameter sets, implement flexible configuration of the coding tools used in the process of encoding/decoding slice(s) and reduce information redundancy."
102,"A video encoding apparatus comprises an encoder encoding input video; a decoder decoding video data, and a filter to compensate for a pixel value of the encoded video data. An adaptive loop filter (ALF) parameter predictor generates an ALF filter parameter using the decoded video data. The ALF filter parameter is applied to an ALF filter to compensate a current pixel by using a pixel adjacent to the current pixel and a filter coefficient with respect to the neighboring pixel; a sample adaptive offset (SAO) filter unit applied to the decoded video data compensates for a current pixel by using at least one of an edge offset and a band offset; an ALF filter unit applies the ALF filter parameter, the ALF filter to video data to which the SAO filter has been applied; and an entropy encoder performs entropy encoding on the ALF filter parameter."
103,"Disclosed are a method and an apparatus for image encoding/decoding. The method for image decoding includes comparing whether a size of a current transform block and a size of a smallest transform block (smallest transform unit (STU)) are the same as each other, and decoding information indicating whether transformation is performed on the current transform block and determining whether to perform inverse transformation on the current transform block based on the decoded information indicating whether the transformation is performed when the size of the current transform block and the size of a smallest transform block are the same as each other."
104,"Methods and apparatus of managing decoded picture buffer for a video coding system are disclosed for a system using an Inter prediction mode and an Intra Block Copy mode. According to one method, a current-picture-usage flag in a picture or slice level is determined. If the current-picture-usage flag indicates that the current picture is not allowed to be used as the reference picture for the current picture, only one picture buffer is allocated in a DPB (decoded picture buffer) for the current picture and a reconstructed current picture after in-loop filtering is stored in the picture buffer in the DPB. According to another method, the system allocates only one picture buffer in the DPB for both the Inter prediction mode and the Intra Block Copy mode of the current picture if all of one or more in-loop filters are disabled for the entire part of the current picture."
105,"A method for sample adaptive offset (SAO) filtering in a video encoder is provided that includes estimating SAO parameters for color components of a largest coding unit (LCU) of a picture, wherein estimating SAO parameters includes using at least some non-deblock-filtered reconstructed pixels of the LCU to estimate the SAO parameters, performing SAO filtering on the reconstructed LCU according to the estimated SAO parameters, and entropy encoding SAO information for the LCU in a compressed video bit stream, wherein the SAO information signals the estimated SAO parameters for the LCU."
106,"A method and apparatus for sharing context among different SAO syntax elements for a video coder are disclosed. Embodiments of the present invention apply CABAC coding to multiple SAO syntax elements according to a joint context model, wherein the multiple SAO syntax elements share the joint context. The multiple SAO syntax elements may correspond to SAO merge left flag and SAO merge up flag. The multiple SAO syntax elements may correspond to SAO merge left flags or merge up flags associated with different color components. The joint context model can be derived based on joint statistics of the multiple SAO syntax elements. Embodiments of the present invention code the SAO type index using truncated unary binarization, using CABAC with only one context, or using CABAC with context mode for the first bin associated with the SAO type index and with bypass mode for any remaining bin."
107,"A device for encoding video data may be configured to encode video data according to a set of sample adaptive offset (SAO) types; perform a plurality of coding passes to test a subset of the SAO types for a first block of video data, wherein the subset is smaller than the set; select from the subset of SAO types an SAO type for the first block of video data; and generate for inclusion in an encoded bitstream, information for identifying the selected SAO type for the first block."
108,"An adaptive offset filter (60) adds an offset to the pixel value of each pixel forming an input image. The adaptive offset filter (60) refers to offset-type specifying information, sets offset attributes for a subject unit area of the input image, decodes an offset having a bit width corresponding to an offset value range included in the set offset attributes, and adds the offset to the pixel value of each pixel forming the input image."
109,"A video encoding method and apparatus, and a video decoding method and apparatus for generating a reconstructed image having a minimized error between an original image and the reconstructed image. The video decoding method accompanied by a sample adaptive offset (SAO) adjustment, the method includes: obtaining 5 slice SAO parameters with respect to a current slice from a slice header of a received bitstream; obtaining luma SAO use information for a luma component of the current slice and chroma SAO use information for chroma components thereof from among the slice SAO parameters; determining whether to perform a SAO operation on the luma component of 10 the current slice based on the obtained luma SAO use information; and equally determining whether to perform the SAO adjustment on a first chroma component and a second chroma component of the current slice based on the obtained chroma SAO use information."
110,"The present disclosure relates to signaling of sample adaptive offset (SAO) parameters determined to minimize an error between an original image and a reconstructed image in video encoding and decoding operations. An SAO decoding method includes obtaining context-encoded leftward SAO merge information and context-encoded upward SAO merge information from a bitstream of a largest coding unit (MCU); obtaining SAO on/off information context-encoded with respect to each color component, from the bitstream; if the SAO on/off information indicates to perform SAO operation, obtaining absolute offset value information for each SAO category bypass-encoded with respect to each color component, from the bitstream; and obtaining one of band position information and edge class information bypass-encoded with respect to each color component, from the bitstream."
111,"A method for signaling sample adaptive offset (SAO) band offset syntax elements in a video encoder is provided that includes receiving a plurality of band offset syntax elements, entropy encoding an absolute value of a magnitude of each band offset syntax element in a compressed video bit stream, and entropy encoding a sign of each non-zero band offset syntax element in the compressed video bit stream following the absolute values of the magnitudes."
112,"This disclosure describes techniques for coding video data. In particular, this disclosure describes techniques for loop filtering for video coding. The techniques of this disclosure may apply to loop filtering and/or partial loop filtering across block boundaries in scalable video coding processes. Loop filtering may include, for example, one or more of adaptive loop filtering (ALF), sample adaptive offset (SAO) filtering, and deblocking filtering."
113,"Systems, methods, and devices are disclosed that encode video, decode video, or both. These systems, methods, and devices generate and/or receive an enable syntax element in an encoded bitstream, wherein the enable syntax element indicates whether a loop filter is turned on or turned off for a group of video blocks. They also generate or receive one or more additional syntax elements identifying parameters for the loop filter for the group of video blocks in response to the enable syntax element indicating the loop filter is turned on for the group of video blocks. These systems, methods, and devices also perform the loop filter for the group of video blocks based on the received enable syntax element."
114,"The present invention relates to a method for encoding and decoding image information and to an apparatus using same, and the method for encoding the image information, according to the present invention, comprises the steps of: generating a recovery block; applying a deblocking filter to the recovery block; applying a sample adaptive offset (SAO) to the recovery block to which the deblocking filter is applied; and transmitting the image information including information on the SAO which is applied, wherein in the step of transmitting, information for specifying bands that cover a scope of a pixel value, to which a band off set is applied, is transmitted when the band offset is applied during the step of applying the SAO."
115,A sampling filter process is provided for scalable video coding. The process provides for re-sampling using video data obtained from an encoder or decoder process of a base layer (BL) in a multi-layer system using adaptive phase shifting to improve quality in Scalable High efficiency Video Coding (SHVC). In order to compensate for phase offsets introduced by downsampling an appropriate phase offset adjustment is made for upsampling in SHVC with an appropriate offset included for proper luma/chroma color space positions. In one approach the luma/chroma phase offset is specified and a filter is selected to apply the appropriate phase change.
116,"A video encoder generates a sequence of sample adaptive offset (SAO) syntax elements for a coding tree block. The SAO syntax elements include regular context-adaptive binary arithmetic coding (CABAC) coded bins for a color component and bypass-coded bins for the color component. None of the bypass-coded bins is between two of the regular CABAC-coded bins in the sequence. The video encoder uses regular CABAC to encode the regular CABAC-coded bins and uses bypass coding to encode the bypass-coded bins. The video encoder outputs the SAO syntax elements in a bitstream. A video decoder receives the bitstream, uses regular CABAC to decode the regular CABAC-coded bins, uses bypass coding to decode the bypass-coded bins, and modifies a reconstructed picture based on the SAO syntax elements."
117,"This disclosure relates to techniques for performing sample adaptive offset (SAO) processes in a video coding process. A video coder may store sets of SAO information. The SAO information may include data indicative of offset values. The video coder may also store mapping information that maps at least some of the sets of SAO information for one or more sequence partitions of a frame of video data. Additionally, the video coder may perform the SAO processes for one of the partitions of the frame based on the stored SAO information and the stored mapping information."
118,"Techniques for signaling of sample adaptive offset (SAO) information that may reduce the coding rate for signaling such information in the compressed bit stream are provided. More specifically, techniques are provided that allow SAO information common to two or more of the color components to be signaled using one or more syntax elements (flags or indicators) representative of the common information. These techniques reduce the need to signal SAO information separately for each color component."
119,"Techniques for performing sample adaptive offset (SAO) and adaptive loop filter (ALF) processes in a video coding process are described. The SAO and ALF processes may be combined. In one example, the determination of offset values for a SAO filter process may be based on classifications used in an ALF process. In one example, an ALF classification that indicates a particular directional characteristic of a video block may be used to determine how and whether an SAO filter process is applied to each sample within the video block."
120,"An image coding method includes: performing context arithmetic coding to consecutively code (i) first information indicating whether or not to perform sample adaptive offset (SAO) processing for a first region of an image and (ii) second information indicating whether or not to use, in the SAO processing for the first region, information on SAO processing for a region other than the first region, the context arithmetic coding being arithmetic coding using a variable probability, the SAO processing being offset processing on a pixel value; and performing bypass arithmetic coding to code other information which is information on the SAO processing for the first region and different from the first information or the second information, after the first information and the second information are coded, the bypass arithmetic coding being arithmetic coding using a fixed probability."
121,"Offset values, such as Sample Adaptive Offset (SAO) values in video coding standards such as the High Efficiency Video Coding standard (HEVC), may be improved by performing calculations and operations that improve the preciseness of these values without materially affecting the signal overhead needed to transmit the more precise values. Such calculations and operations may include applying a quantization factor to a video sample and at least some of its neighbors, comparing the quantized values, and classifying the video sample as a minimum, maximum, or one of various types of edges based on the comparison. Other sample range, offset mode, and/or offset precision parameters may be calculated and transmitted with metadata to improve the precision of offset values."
122,"The present invention relates to an image information encoding and decoding method and a device for same. One embodiment of an image information encoding method according to the present invention, as an image information encoding method according to another embodiment of the present invention, includes the steps of: generating a restore block; applying a deblocking filter on the restore block; applying a Sample Adaptive Offset (SAO) on the restore block having the deblocking filter applied thereon; and transmitting information on the SAO application. During the applying of the SAO, the SAO is applied to chroma pixels, and during the transmitting of the information, in addition to information on whether the SAO is applied on the chroma pixels, at least one of area information, division information on the SAO coverage area, SAO type information, and SAO offset information is transmitted."
123,"Provided are a method and apparatus for encoding and decoding images based on constrained offset compensation and a loop filter. The image decoding apparatus: receives, from an encoder, a first indicator indicating whether a sequence, a picture, a frame, a slice, a coding unit (CU), a prediction unit (PU), and/or a transform unit (TU) supports constrained offset compensation; receives, from the encoder, a second indicator indicating whether constrained sample adaptive offset (SAO) compensation or an adaptive loop filter (ALF) is applied; receives a parameter from the encoder; and applies the SAO compensation or the ALF to pixels of a restored image on the basis of the second indicator and the parameter."
124,"A method for signaling sample adaptive offset (SAO) band offset syntax elements in a video encoder is provided that includes receiving a plurality of band offset syntax elements, entropy encoding an absolute value of a magnitude of each band offset syntax element in a compressed video bit stream, and entropy encoding a sign of each non-zero band offset syntax element in the compressed video bit stream following the absolute values of the magnitudes."
125,"A method is provided for replacing at least a portion of the organic linker content of a zeolitic imidazolate framework composition. The method comprises exchanging the organic linker with another organic linker. Also provided is a new material, designated as EMM-19, and a method of using EMM-19 to adsorb gases, such as carbon dioxide."
126,"A method is provided for forming a zeolitic imidazolate framework composition using at least one reactant that is relatively insoluble in the reaction medium. Also provided herein is a material made according to the method, designated either as EMM-19 or as EMM-19*, and a method of using same to adsorb and/or separate gases, such as carbon dioxide."
127,A method of performing memory mapped input output operations to an alternate address space comprising: establishing a first instruction directed to a first memory mapped input output alternate address space associated with an adapter to store data in accordance with a definition of a z/Architecture; establishing a second instruction directed to the first memory mapped input output alternate address space associated with an adapter to load data in accordance with the definition(s) of the z/Architecture; and wherein a process issues at least one of the first instruction and the second instruction and thereby causes execution of at least one of the store and load with the first alternate address space.
128,"An image processing system includes a fixed-type game machine and a hand-held type game machine. To the hand-held type game machine, an imaging cartridge is attached, and therefore, when an operator photographs a face image of a desired object, for example, face image data corresponding thereto is produced. In addition, by operating an operating switch of the hand-held type game machine, the operator can input feature data representing a feature of the object. The hand-held type game machine transmits the face image data and the feature data to the fixed-type game machine. The fixed-type game machine deforms provisional three-dimensional character data selected by the operator based on the feature data, and attaches the face image data to the deformed provisional three-dimensional feature data so as to compose an image. A composed image is displayed on an image display device by an animation based on the feature data."
129,"A system, method and article of manufacture, for improving object security in distributed object systems, in an information handling system employing object oriented technology, includes one or more processors, a storage system, a system bus, a display sub-system controlling a display device, a cursor control device, an I/O controller for controlling I/O devices, all connected by system bus an operating system such as the OS/2* operating system program (OS/2 is a registered trademark of International Business Machines Corporation), one or more application programs for executing user tasks and an object oriented control program, such as, DSOM Objects program, which is a commercially available product of International Business Machines Corporation, the object oriented control program including a system authorization policy (SAP) object, a system authorization oracle (SAO) object, and a system registration object (SRO). The SAP object encapsulates management of a resource authorization policy. It may also be used to retrieve security attributes of objects in order to perform access checking. An object's security attribute includes the access control list (ACL) governing access to the object. The SAP object is also used to retrieve and manipulate user capabilities in an environment that is capability based for access authorization. A user capability enlists the object that the user has access to, along with the corresponding access types or permissions. A capability is the transpose of an access control list (ACL) in the global access matrix modeling user access to protected objects."
130,An abrasive compact with a substantially solid body is provided from a mass of abrasive particles which are bonded together on a particle-to-particle basis. A network of interstices is formed within the body by removing the metallic second phase by-product of a solvent catalyst sintering aid. The network of interstices is filled with the carbide by product of a non-catalyst sintering aid forking a solid body. A substrate is bonded to some of the particles and to some of the carbide filling the network of interstices.
131,"A gate turn-off thyristor has first and second MOSFETs serving as turn-on and turn-off controlling devices, respectively. A p type semiconductor layer is additionally formed in an n type substrate functioning as a first base in such a manner as to overlap a p type second base layer. The additional layer is different from the second base in impurity concentration, thereby causing the resistivity of the second base to be smaller than that of the additional layer. The first MOSFET has an n type source layer formed in the additional layer to define a surface portion of the additional layer positioned between the source layer and the first base layer as a channel region of the first MOSFET. A turn-on gate layer is provided to cover a surface region of the first base and the channel region of the first MOSFET."
